Name,Link to hotel,price,vendorInner,popindex,Review1,Review2,review_count,Review 3,Review4
,,,,,,,,,
Radisson Blu Plaza Delhi Airport,https://www.tripadvisor.in/Hotel_Review-g304551-d306957-Reviews-Radisson_Blu_Plaza_Delhi_Airport-New_Delhi_National_Capital_Territory_of_Delhi.html,"₹ 9,770",goibibo.com,,Free Wifi,Free parking,"7,077 reviews",Breakfast included,
The Lalit New Delhi,https://www.tripadvisor.in/Hotel_Review-g304551-d299120-Reviews-The_Lalit_New_Delhi-New_Delhi_National_Capital_Territory_of_Delhi.html,"₹ 11,371",Booking.com,"#1 Best Value of 4,188 places to stay in New Delhi",Free Wifi,Free parking,"9,056 reviews",,Free cancellation
Radisson Blu Plaza Delhi Airport,https://www.tripadvisor.in/Hotel_Review-g304551-d306957-Reviews-Radisson_Blu_Plaza_Delhi_Airport-New_Delhi_National_Capital_Territory_of_Delhi.html,"₹ 9,770",goibibo.com,"#2 Best Value of 4,188 places to stay in New Delhi",Free Wifi,Free parking,"7,077 reviews",Breakfast included,
The Roseate New Delhi,https://www.tripadvisor.in/Hotel_Review-g304551-d4579616-Reviews-The_Roseate_New_Delhi-New_Delhi_National_Capital_Territory_of_Delhi.html,"₹ 16,318",MakeMyTrip,"#3 Best Value of 4,188 places to stay in New Delhi",Free Wifi,Free parking,"1,961 reviews",,Free cancellation
,,,,,,,,,
"The Leela Ambience Convention Hotel, Delhi",https://www.tripadvisor.in/Hotel_Review-g304551-d3510307-Reviews-The_Leela_Ambience_Convention_Hotel_Delhi-New_Delhi_National_Capital_Territory_of_Delh.html,"₹ 10,679",goibibo.com,"#4 Best Value of 4,188 places to stay in New Delhi",Free parking,Pool,"4,172 reviews",Breakfast included,Free cancellation
,,,,,,,,,
,,,,,,,,,
"Taj Palace, New Delhi",https://www.tripadvisor.in/Hotel_Review-g304551-d302181-Reviews-Taj_Palace_New_Delhi-New_Delhi_National_Capital_Territory_of_Delhi.html,"₹ 5,990",MakeMyTrip,"#5 Best Value of 4,188 places to stay in New Delhi",Free parking,Pool,"4,144 reviews",,Free cancellation
Hotel Grand Imperial,https://www.tripadvisor.in/Hotel_Review-g304551-d13964392-Reviews-Hotel_Grand_Imperial-New_Delhi_National_Capital_Territory_of_Delhi.html,"₹ 4,816",Hotels.com,,Free Wifi,Free parking,36 reviews,Breakfast included,Free cancellation
,,,,,,,,,
Roseate House New Delhi,https://www.tripadvisor.in/Hotel_Review-g304551-d11561000-Reviews-Roseate_House_New_Delhi-New_Delhi_National_Capital_Territory_of_Delhi.html,"₹ 6,551",Booking.com,"#6 Best Value of 4,188 places to stay in New Delhi",Free Wifi,Free parking,"2,263 reviews",Breakfast included,Free cancellation
The Claridges Hotel,https://www.tripadvisor.in/Hotel_Review-g304551-d306937-Reviews-The_Claridges_Hotel-New_Delhi_National_Capital_Territory_of_Delhi.html,"₹ 9,027",Booking.com,"#7 Best Value of 4,188 places to stay in New Delhi",Free parking,Pool,"4,126 reviews",Breakfast included,"Reserve now, pay at stay"
"Red Fox Hotel, Delhi Airport",https://www.tripadvisor.in/Hotel_Review-g304551-d3507485-Reviews-Red_Fox_Hotel_Delhi_Airport-New_Delhi_National_Capital_Territory_of_Delhi.html,"₹ 8,566",Booking.com,"#8 Best Value of 4,188 places to stay in New Delhi",Free Wifi,Free parking,"3,210 reviews",Breakfast included,
Holiday Inn New Delhi International Airport,https://www.tripadvisor.in/Hotel_Review-g304551-d4884442-Reviews-Holiday_Inn_New_Delhi_International_Airport-New_Delhi_National_Capital_Territory_of_De.html,"₹ 6,047",HolidayInn.com,"#9 Best Value of 4,188 places to stay in New Delhi",Free Wifi,Free parking,"3,037 reviews",,"Reserve now, pay at stay"
Eros Hotel,https://www.tripadvisor.in/Hotel_Review-g304551-d299121-Reviews-Eros_Hotel-New_Delhi_National_Capital_Territory_of_Delhi.html,"₹ 7,655",Tripadvisor,"#10 Best Value of 4,188 places to stay in New Delhi",Free parking,Pool,"2,832 reviews",,
,,,,,,,,,
The Neem,https://www.tripadvisor.in/Hotel_Review-g304551-d13370039-Reviews-The_Neem-New_Delhi_National_Capital_Territory_of_Delhi.html,"₹ 3,332",MakeMyTrip,,Free Wifi,Free parking,63 reviews,Breakfast included,
Hotel Novotel New Delhi Aerocity,https://www.tripadvisor.in/Hotel_Review-g304551-d8867537-Reviews-Hotel_Novotel_New_Delhi_Aerocity-New_Delhi_National_Capital_Territory_of_Delhi.html,"₹ 8,432",Booking.com,"#11 Best Value of 4,188 places to stay in New Delhi",Free Wifi,Free parking,"2,747 reviews",Breakfast included,
"Shangri-La's - Eros Hotel, New Delhi",https://www.tripadvisor.in/Hotel_Review-g304551-d578527-Reviews-Shangri_La_s_Eros_Hotel_New_Delhi-New_Delhi_National_Capital_Territory_of_Delhi.html,"₹ 9,293",Agoda.com,"#12 Best Value of 4,188 places to stay in New Delhi",Free Wifi,Free parking,"4,443 reviews",,
Park Inn By Radisson New Delhi IP Extension,https://www.tripadvisor.in/Hotel_Review-g304551-d7171796-Reviews-Park_Inn_By_Radisson_New_Delhi_IP_Extension-New_Delhi_National_Capital_Territory_of_De.html,"₹ 6,384",goibibo.com,"#13 Best Value of 4,188 places to stay in New Delhi",Free Wifi,Free parking,741 reviews,Breakfast included,Free cancellation
Andaz Delhi,https://www.tripadvisor.in/Hotel_Review-g304551-d11926258-Reviews-Andaz_Delhi-New_Delhi_National_Capital_Territory_of_Delhi.html,"₹ 10,481",Booking.com,"#14 Best Value of 4,188 places to stay in New Delhi",Free Wifi,Free parking,"3,386 reviews",Breakfast included,Free cancellation
,,,,,,,,,
JW Marriott Hotel New Delhi Aerocity,https://www.tripadvisor.in/Hotel_Review-g304551-d4451234-Reviews-JW_Marriott_Hotel_New_Delhi_Aerocity-New_Delhi_National_Capital_Territory_of_Delhi.html,"₹ 11,098",JW Marriott,"#15 Best Value of 4,188 places to stay in New Delhi",Free parking,Pool,"3,975 reviews",,Free cancellation
Colonel's Retreat,https://www.tripadvisor.in/Hotel_Review-g304551-d1371418-Reviews-Colonel_s_Retreat-New_Delhi_National_Capital_Territory_of_Delhi.html,"₹ 5,476",Booking.com,,Free Wifi,Free parking,928 reviews,Breakfast included,Free cancellation
"Lemon Tree Premier, Delhi Airport",https://www.tripadvisor.in/Hotel_Review-g304551-d3583700-Reviews-Lemon_Tree_Premier_Delhi_Airport-New_Delhi_National_Capital_Territory_of_Delhi.html,"₹ 5,704",Booking.com,"#16 Best Value of 4,188 places to stay in New Delhi",Free Wifi,Free parking,"4,074 reviews",All Inclusive,
Le Meridien New Delhi,https://www.tripadvisor.in/Hotel_Review-g304551-d301904-Reviews-Le_Meridien_New_Delhi-New_Delhi_National_Capital_Territory_of_Delhi.html,"₹ 6,717",Agoda.com,"#17 Best Value of 4,188 places to stay in New Delhi",Free parking,Pool,"4,583 reviews",Breakfast included,
The Muse Sarovar Portico New Delhi Kapashera,https://www.tripadvisor.in/Hotel_Review-g304551-d11983212-Reviews-The_Muse_Sarovar_Portico_New_Delhi_Kapashera-New_Delhi_National_Capital_Territory_of_.html,"₹ 4,224",Booking.com,"#18 Best Value of 4,188 places to stay in New Delhi",Free Wifi,Free parking,953 reviews,Breakfast included,Free cancellation
,,,,,,,,,
ibis New Delhi Aerocity,https://www.tripadvisor.in/Hotel_Review-g304551-d2590189-Reviews-Ibis_New_Delhi_Aerocity-New_Delhi_National_Capital_Territory_of_Delhi.html,"₹ 2,216",Hotels.com,"#19 Best Value of 4,188 places to stay in New Delhi",Free Wifi,Free parking,"2,399 reviews",,
